filename,label,cA5_mean,cA5_min,cA5_max,cA5_energy,cD5_mean,cD5_min,cD5_max,cD5_energy,cD4_mean,cD4_min,cD4_max,cD4_energy,cD3_mean,cD3_min,cD3_max,cD3_energy,raw_mean,raw_min,raw_max,raw_energy,raw_entropy
Z001.txt,0,190.11092612573185,34.85118705413172,538.6795645340692,6106829.820880787,128.28984994624867,5.612701965973207,440.1967332605475,2926944.6664327597,103.74510879192384,8.556380165955304,348.07381600474326,3784481.442978059,65.01984261844775,1.5437809021534417,201.49014315461773,2815530.367843181,6.816451061752502,-190.0,185.0,7622197.0,3.8201213189722742
Z002.txt,0,190.6327916059339,10.388939915817375,585.8764204321088,6923143.32153069,114.58517412793049,7.176003243288993,296.15745163390653,2357356.403954611,124.80379077084072,6.6883978019243555,348.5445340777535,5417266.611075314,91.60210121493978,8.511173200987686,354.0074648016945,5711796.616248842,-52.444715645594336,-254.0,169.0,21030412.0,3.8424196577938736
Z003.txt,0,209.06606938793345,16.119211437305264,540.5134472284498,7477364.594362913,127.21918288132646,10.156538794451114,387.66173164620216,2933899.914223978,102.88890379572757,4.396585023706942,278.7421338756091,3638710.823714108,78.88326062928941,1.6192882834229185,259.0643553062811,4277687.319527743,12.705150109836465,-146.0,184.0,9767461.0,4.0551359075569815
Z004.txt,0,145.77198290512524,8.376990279460687,485.6086073992221,3889881.760453476,108.17796831980414,12.844111359051539,423.51555256826003,2247830.7592181573,113.78890522970728,4.692708677092982,362.8618523490106,4522186.396260884,88.56055112957162,0.76600216097568,311.472311110071,5325516.307501504,-3.992433487917989,-181.0,162.0,9143449.0,4.010141281828944
Z005.txt,0,205.80124950265053,8.593684282875282,513.6576170205636,7482184.305299861,91.65178043531532,4.573689628195034,296.07615074965537,1552643.7195728077,98.5288710757309,3.824002606310482,306.2556478323945,3484283.8657098534,74.51771097223242,4.250382686826793,250.86808400115922,3928930.61154125,-17.99926775689529,-188.0,152.0,9590945.0,3.9732987518607463
Z006.txt,0,186.33625712745334,2.189657928989965,714.2780182574269,6732192.35976894,101.11328382845645,3.658410632744339,259.5099871559113,1834179.559025257,111.13383558959993,8.597904698970837,301.2892861236397,4272203.9111684915,71.68453647892403,4.605809072706934,284.614122775531,3572001.107882823,-27.8230412496949,-180.0,123.0,11476379.0,4.101160001144554
Z007.txt,0,178.86630831337516,21.627723491626405,576.4408572807321,5951772.734270036,93.45272797927124,3.6305317630808007,242.89913631481193,1640567.9182865978,125.00845653698248,4.969296862072185,388.6676100899205,5422556.412517456,76.64797419911562,2.6357210831099045,242.2970892524853,4024780.285805351,-13.33463509885282,-177.0,147.0,9495812.0,4.058874485480452
Z008.txt,0,128.05990068903802,18.012438855660207,312.2146705339338,2838092.6934691314,74.38327356061563,7.355088323593515,200.66333102924597,1004908.8908934611,70.73151854609037,3.6621095814179325,199.0085169654685,1720547.0760223004,61.00442197834109,0.6933614898461676,186.74930513876643,2523609.7825154876,-5.653893092506713,-124.0,129.0,4416482.0,3.9331759551780423
Z009.txt,0,159.8875286332418,20.619691806893638,397.95497993250626,4492793.761812473,82.46758236116531,3.296391498987444,202.43736297909393,1187815.0417621522,66.3954055523676,3.550429664338761,186.9614198685398,1512438.4110997193,36.60234673555068,1.7208413635380442,111.29191971609858,886936.6676389864,8.200878691725652,-93.0,117.0,4335177.0,4.100025402657321
Z010.txt,0,224.5373649583507,5.321461288510061,837.3881382247768,9871077.624934802,99.07333053766024,7.4199448729693485,273.1739747200273,1838762.86333731,72.65591876124827,1.9584320944823344,259.8288834180836,1783683.132964427,53.2763364536539,0.5954490252017498,200.15852440402878,1863409.9083882053,-27.36953868684403,-190.0,122.0,10893141.0,4.028924532065535
Z011.txt,0,182.42063338854217,5.211797583845004,561.2852345700107,5828050.476468803,116.8404758921481,9.827089382622235,293.15422520461607,2361262.7776472457,92.7116105071008,10.429173858893275,278.91517296860127,3024980.7188344756,44.15137674344439,3.3265124386579004,129.39928871136865,1316396.3227143912,-13.600195264827923,-163.0,136.0,6804282.0,3.950203108445794
Z012.txt,0,171.55350576266733,11.463961017390307,517.1278627342514,5634665.328990792,117.01053383635744,9.650472965700986,382.1569454887259,2432893.901610099,98.79770346971036,6.8548268717897285,282.6048078489988,3420450.049769719,43.52043333183294,1.4342628071274874,158.8934241678731,1273290.5087768785,-14.408347571393703,-162.0,115.0,7273209.0,4.04260551161402
